Model,Train R²,Test R²,Test RMSE,Test MAE,Test MAPE %
Random Forest,0.9924170756876755,0.9540738806587771,0.012120258413177449,0.008266438245588658,4.670725241832695
Gradient Boosting,0.9958832936897122,0.9539803762561682,0.012132590407301122,0.008302984145746966,4.76939354540022
AdaBoost,0.9840113201422936,0.9416767346980202,0.013658497253648344,0.009426289686980232,5.527075930789842
Ensemble Voting Regressor,0.9936452461150939,0.9532404138725292,0.012229743083356856,0.008402347508776695,4.804997519479115
